Class	Type	Prop	Disabled
CityServiceCapacityAdjusterSettings	float	ElementrySchoolSlider	
CityServiceCapacityAdjusterSettings	bool	FixMailOverflow	
CityServiceCapacityAdjusterSettings	int	GarbageTruckCapacitySlider	
CityServiceCapacityAdjusterSettings	float	HighSchoolSlider	
CityServiceCapacityAdjusterSettings	int	PedestrianCrosswalkReduction	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityAirplaneSlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityBusSlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityShipSlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacitySubwaySlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityTaxiSlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityTrainSlider	
CityServiceCapacityAdjusterSettings	float	PeopleCapacityTramSlider	
CityServiceCapacityAdjusterSettings	int	PostSortingSlider	
CityServiceCapacityAdjusterSettings	float	UniversitySlider	
CityStatsSettings	bool	ModButtonVisible	
CityStatsSettings	bool	PanelOpenOnLoad	
CityStatsSettings	StatsPanelOrientation	PanelOrientation	
CityStatsSettings	float2	PanelPosition	TRUE
CityStatsSettings	bool	PanelShowSectionDividers	
CityStatsSettings	ProxyBinding	TogglePanelBinding	
CityWatchdogSettings	ProxyBinding	AddMoneyKeyboardBinding	
CityWatchdogSettings	bool	AutomaticAddMoney	
CityWatchdogSettings	int	AutomaticAddMoneyAmount	
CityWatchdogSettings	int	AutomaticAddMoneyThreshold	
CityWatchdogSettings	bool	BuildingAbandonedCollapsedNotification	
CityWatchdogSettings	bool	BuildingAbandonedNotification	
CityWatchdogSettings	bool	BuildingCondemnedNotification	
CityWatchdogSettings	bool	BuildingHighRentNotification	
CityWatchdogSettings	bool	BuildingTurnedOffNotification	
CityWatchdogSettings	bool	CompanyNoCustomersNotification	
CityWatchdogSettings	bool	CompanyNoInputsNotification	
CityWatchdogSettings	bool	ConfirmUnlimitedMoneySaveConversion	
CityWatchdogSettings	bool	CustomMilestone	
CityWatchdogSettings	bool	DisasterDestroyedNotification	
CityWatchdogSettings	bool	DisasterWaterDamageNotification	
CityWatchdogSettings	bool	DisasterWaterDestroyedNotification	
CityWatchdogSettings	bool	DisasterWeatherDamageNotification	
CityWatchdogSettings	bool	DisasterWeatherDestroyedNotification	
CityWatchdogSettings	bool	ElectricityBatteryEmptyNotification	
CityWatchdogSettings	bool	ElectricityBottleneckNotification	
CityWatchdogSettings	bool	ElectricityBuildingBottleneckNotification	
CityWatchdogSettings	bool	ElectricityElectricityNotification	
CityWatchdogSettings	bool	ElectricityHighVoltageNotConnected	
CityWatchdogSettings	bool	ElectricityLowVoltageNotConnected	
CityWatchdogSettings	bool	ElectricityNotEnoughConnectedNotification	
CityWatchdogSettings	bool	ElectricityNotEnoughProductionNotification	
CityWatchdogSettings	bool	ElectricityTransformerNotification	
CityWatchdogSettings	bool	FireBurnedDownNotification	
CityWatchdogSettings	bool	FireFireNotification	
CityWatchdogSettings	bool	GarbageFacilityFullNotification	
CityWatchdogSettings	bool	GarbageGarbageNotification	
CityWatchdogSettings	bool	HealthcareAmbulanceNotification	
CityWatchdogSettings	bool	HealthcareFacilityFullNotification	
CityWatchdogSettings	bool	HealthcareHearseNotification	
CityWatchdogSettings	int	InitialMoney	
CityWatchdogSettings	int	ManualMoneyAmount	
CityWatchdogSettings	int	MilestoneLevel	
CityWatchdogSettings	int	MoneyTooltipFontScale	
CityWatchdogSettings	int	MoneyTooltipMode	
CityWatchdogSettings	bool	MoneyView	
CityWatchdogSettings	int	MoneyViewMode	
CityWatchdogSettings	NotificationSetting	Notification	TRUE
CityWatchdogSettings	class	NotificationSetting	TRUE
CityWatchdogSettings	bool	PoliceCrimeSceneNotification	
CityWatchdogSettings	bool	PoliceTrafficAccidentNotification	
CityWatchdogSettings	bool	PollutionAirPollutionNotification	
CityWatchdogSettings	bool	PollutionGroundPollutionNotification	
CityWatchdogSettings	bool	PollutionNoisePollutionNotification	
CityWatchdogSettings	int	PopulationTooltipFontScale	
CityWatchdogSettings	bool	ResourceConnectionFishingPierNotConnectedNotification	
CityWatchdogSettings	bool	ResourceConnectionOilPipeNotConnectedNotification	
CityWatchdogSettings	bool	ResourceConnectionWarningNotification	
CityWatchdogSettings	bool	ResourceConsumerNoFuelNotification	
CityWatchdogSettings	bool	ResourceConsumerNoResourceNotification	
CityWatchdogSettings	bool	RouteGateBypassNotification	
CityWatchdogSettings	bool	RoutePathfindNotification	
CityWatchdogSettings	bool	ShowUsage	
CityWatchdogSettings	ProxyBinding	SubtractMoneyKeyboardBinding	
CityWatchdogSettings	ProxyBinding	ToggleNotificationPanelKeyboardBinding	
CityWatchdogSettings	ProxyBinding	ToggleNotificationsKeyboardBinding	
CityWatchdogSettings	bool	TrafficBicycleConnectionNotification	
CityWatchdogSettings	bool	TrafficBottleneckNotification	
CityWatchdogSettings	bool	TrafficCarConnectionNotification	
CityWatchdogSettings	bool	TrafficDeadEndNotification	
CityWatchdogSettings	bool	TrafficPedestrianConnectionNotification	
CityWatchdogSettings	bool	TrafficRoadConnectionNotification	
CityWatchdogSettings	bool	TrafficShipConnectionNotification	
CityWatchdogSettings	bool	TrafficTrackConnectionNotification	
CityWatchdogSettings	bool	TrafficTrainConnectionNotification	
CityWatchdogSettings	bool	TransportLineVehicleNotification	
CityWatchdogSettings	bool	WaterPipeDirtyWaterNotification	
CityWatchdogSettings	bool	WaterPipeDirtyWaterPumpNotification	
CityWatchdogSettings	bool	WaterPipeNotEnoughGroundwaterNotification	
CityWatchdogSettings	bool	WaterPipeNotEnoughSewageCapacityNotification	
CityWatchdogSettings	bool	WaterPipeNotEnoughSurfaceWaterNotification	
CityWatchdogSettings	bool	WaterPipeNotEnoughWaterCapacityNotification	
CityWatchdogSettings	bool	WaterPipeSewageNotification	
CityWatchdogSettings	bool	WaterPipeSewagePipeNotConnectedNotification	
CityWatchdogSettings	bool	WaterPipeWaterNotification	
CityWatchdogSettings	bool	WaterPipeWaterPipeNotConnectedNotification	
CityWatchdogSettings	bool	WorkProviderEducatedNotification	
CityWatchdogSettings	bool	WorkProviderUneducatedNotification	
CivicVoiceSettings	int	AdHocCooldownMonths	
CivicVoiceSettings	bool	ConcludeElection	TRUE
CivicVoiceSettings	int	CrimeRateThreshold	
CivicVoiceSettings	int	ElectionFrequencyMonths	
CivicVoiceSettings	int	EndorsementInfluencePercent	
CivicVoiceSettings	bool	ForceElection	TRUE
CivicVoiceSettings	int	HealthThreshold	
CivicVoiceSettings	int	HomelessThreshold	
CivicVoiceSettings	int	HousingDemandThreshold	
CivicVoiceSettings	int	MajorProjectMinPopulation	
CivicVoiceSettings	int	MaxActiveAdHocProposals	
CivicVoiceSettings	int	MaxActiveMajorProposals	
CivicVoiceSettings	int	MaxActiveMetricProposals	
CivicVoiceSettings	int	MetricProposalCooldownMonths	
CivicVoiceSettings	int	MinPopulationForElection	
CivicVoiceSettings	int	RejectedCooldownMonths	
CivicVoiceSettings	bool	ResetToDefaults	TRUE
CivicVoiceSettings	bool	ShowNotifications	
CivicVoiceSettings	int	UnemploymentThreshold	
CivicVoiceSettings	bool	UseUniversalModMenu	
CivicVoiceSettings	int	WellbeingThreshold	
ClearanceHelperSettings	float	RoadHeight	
ClearanceHelperSettings	float	SubwayTrackHeight	
ClearanceHelperSettings	ProxyBinding	ToggleOverlay	
ClearanceHelperSettings	float	TrainTrackHeight	
ClearanceHelperSettings	float	TramTrackHeight	
ClearanceHelperSettings	float	WaterwayHeight	
CollisionBeGoneSettings	bool	ClipCargo	
CollisionBeGoneSettings	bool	ClipEmergency	
CollisionBeGoneSettings	bool	ClipPersonal	
CollisionBeGoneSettings	int	ClippingMode	
CollisionBeGoneSettings	bool	ClipPublicTransport	
CollisionBeGoneSettings	bool	ClipService	
CollisionBeGoneSettings	bool	Enabled	
ColoredBikePathSettings	float	Brightness	
ColoredBikePathSettings	float	ColorIntensity	
ColoredBikePathSettings	bool	ColorMixedPaths	
ColoredBikePathSettings	BikePathColorPreset	ColorPreset	
ColoredBikePathSettings	float	CustomColorBlue	
ColoredBikePathSettings	float	CustomColorGreen	
ColoredBikePathSettings	string	CustomColorHex	
ColoredBikePathSettings	float	CustomColorRed	
ColoredBikePathSettings	bool	OnlyBikeLanesNotPedestrian	
ColoredBikePathSettings	float	Saturation	
ColoredBusLaneSettings	float	Brightness	
ColoredBusLaneSettings	float	ColorIntensity	
ColoredBusLaneSettings	BusLaneColorPreset	ColorPreset	
ColoredBusLaneSettings	float	CustomColorBlue	
ColoredBusLaneSettings	float	CustomColorGreen	
ColoredBusLaneSettings	string	CustomColorHex	
ColoredBusLaneSettings	float	CustomColorRed	
ColoredBusLaneSettings	bool	EnableColoring	
ColoredBusLaneSettings	float	Saturation	
ConfigXMLSettings	bool	_Hidden	TRUE
ConfigXMLSettings	bool	UseLocalConfig	
ConfigXMLSettings	bool	UseModPresets	
ConfigXMLSettings	bool	VerboseLogs	TRUE
CustomChirpsSettings	bool	disable_vanilla_chirps	
CustomChirpsSettings	bool	hide_vanilla_chirps_in_chirper_panel	
CustomRoadSnapSettings	float	SnapAngle	
CustomRoadSnapSettings	bool	SnapEnabled	
CustomRoadSnapSettings	ProxyBinding	ToggleSnapBinding	
CustomTourismSettings	int	Aggressiveness	
CustomTourismSettings	int	AirWeight	
CustomTourismSettings	string[]	OverridePrefabNames	
CustomTourismSettings	int[]	OverrideValues	
CustomTourismSettings	int	RoadWeight	
CustomTourismSettings	int	ShipWeight	
CustomTourismSettings	int	TargetTouristCount	
CustomTourismSettings	int	TrainWeight	
DCMilestoneRewardsSettings	bool	disableMilestoneRewards	
DemandMasterControlSettings	float	AvailableWorkplaceEffect	
DemandMasterControlSettings	float	CitizenOCSpawnParameters_Air	
DemandMasterControlSettings	float	CitizenOCSpawnParameters_Road	
DemandMasterControlSettings	float	CitizenOCSpawnParameters_Ship	
DemandMasterControlSettings	float	CitizenOCSpawnParameters_Train	
DemandMasterControlSettings	float	CommercialBaseDemand	
DemandMasterControlSettings	float	CommercialStorageEffect	TRUE
DemandMasterControlSettings	float	CommercialStorageMinimum	TRUE
DemandMasterControlSettings	float	CommuterOCSpawnParameters_Air	
DemandMasterControlSettings	float	CommuterOCSpawnParameters_Road	
DemandMasterControlSettings	float	CommuterOCSpawnParameters_Ship	
DemandMasterControlSettings	float	CommuterOCSpawnParameters_Train	
DemandMasterControlSettings	int	CommuterSlowSpawnFactor	
DemandMasterControlSettings	int	CommuterWorkerRatioLimit	
DemandMasterControlSettings	string	CurrentHappinessValue	
DemandMasterControlSettings	float	ExtractorBaseDemand	
DemandMasterControlSettings	int	FrameIntervalForSpawning_Com	
DemandMasterControlSettings	int	FrameIntervalForSpawning_Ind	
DemandMasterControlSettings	int	FrameIntervalForSpawning_Res	
DemandMasterControlSettings	float	FreeCommercialProportion	TRUE
DemandMasterControlSettings	float	FreeIndustrialProportion	TRUE
DemandMasterControlSettings	int	FreeResidentialRequirement_High	
DemandMasterControlSettings	int	FreeResidentialRequirement_Low	
DemandMasterControlSettings	int	FreeResidentialRequirement_Medium	
DemandMasterControlSettings	float	HappinessEffect	
DemandMasterControlSettings	float	HomelessEffect	
DemandMasterControlSettings	float	HotelRoomPercentRequirement	
DemandMasterControlSettings	float	HouseholdSpawnSpeedFactor	
DemandMasterControlSettings	float	IndustrialBaseDemand	
DemandMasterControlSettings	float	IndustrialStorageEffect	TRUE
DemandMasterControlSettings	float	IndustrialStorageMinimum	TRUE
DemandMasterControlSettings	bool	IsRealisticTripsRunning	
DemandMasterControlSettings	int	MinimumHappiness	
DemandMasterControlSettings	float	NeutralAvailableWorkplacePercentage	
DemandMasterControlSettings	int	NeutralHappiness	
DemandMasterControlSettings	int	NeutralHomelessness	
DemandMasterControlSettings	float	NeutralUnemployment	
DemandMasterControlSettings	float	NewCitizenEducationParameters_Educated	
DemandMasterControlSettings	float	NewCitizenEducationParameters_HighlyEducated	
DemandMasterControlSettings	float	NewCitizenEducationParameters_PoorlyEducated	
DemandMasterControlSettings	float	NewCitizenEducationParameters_Uneducated	
DemandMasterControlSettings	float	NewCitizenEducationParameters_WellEducated	
DemandMasterControlSettings	bool	NotGameMode	TRUE
DemandMasterControlSettings	float	StorageDemandMultiplier	TRUE
DemandMasterControlSettings	float	StudentEffect	
DemandMasterControlSettings	float	TaxEffect_x	
DemandMasterControlSettings	float	TaxEffect_y	
DemandMasterControlSettings	float	TaxEffect_z	
DemandMasterControlSettings	float	TeenSpawnPercentage	
DemandMasterControlSettings	float	TouristOCSpawnParameters_Air	
DemandMasterControlSettings	float	TouristOCSpawnParameters_Road	
DemandMasterControlSettings	float	TouristOCSpawnParameters_Ship	
DemandMasterControlSettings	float	TouristOCSpawnParameters_Train	
DemandMasterControlSettings	bool	vanillaDataSet	TRUE
DetailedDescriptionsSettings	bool	AvoidPublicTransportCapacityDuplication	
DetailedDescriptionsSettings	LengthUnitSetting	BuildingLotSizeUnit	
DetailedDescriptionsSettings	string	PublicTransportCapacityFormat	
DetailedDescriptionsSettings	SpeedUnitSetting	RoadSpeedLimitUnit	
DetailedDescriptionsSettings	bool	ShowBuildingLotSizes	
DetailedDescriptionsSettings	bool	ShowBuildingWorkplaces	
DetailedDescriptionsSettings	bool	ShowPublicTransportCapacity	
DetailedDescriptionsSettings	bool	ShowRoadSpeedLimit	
DetailedDescriptionsSettings	bool	ShowZoneLotSizes	
DisableAccidentsSettings	int	AccidentProbability	
DisableAccidentsSettings	bool	ModEnabled	
DisableHoverSettings	bool	DisableBlueHighLightOnBuildings	
DisableHoverSettings	bool	DisableUIToolTips	
DisablePlacementSwaySettings	bool	DisablePlacementSway	
EasyZoningSettings	bool	LegacyRightClickCycle	
EasyZoningSettings	bool	RemoveOccupiedCells	
EasyZoningSettings	string	RemovePreviewBorderStyle	
EasyZoningSettings	int	RemovePreviewEdgeOpacityPercent	
EasyZoningSettings	int	RemovePreviewFillOpacityPercent	
EasyZoningSettings	string	RemovePreviewFillStyle	
EasyZoningSettings	bool	RemoveZonedCells	
EasyZoningSettings	bool	ShowContourButton	
EasyZoningSettings	bool	ShowUsage	
EasyZoningSettings	ProxyBinding	ToggleZoneTool	
EasyZoningSettings	bool	UseGlassPanel	
EasyZoningSettings	bool	UseOrangeRemovePreviewEdge	
EconomyEXSettings	float	CompanyShoppingMaxCost	
EconomyEXSettings	int	CurrentPetCount	TRUE
EconomyEXSettings	bool	DisableWorldBackdrop	
EconomyEXSettings	EditorCollisionSkipMode	EditorCollisionSkip	
EconomyEXSettings	float	EmergencyMaxCost	
EconomyEXSettings	bool	EnableDemandEcoSystem	
EconomyEXSettings	bool	EnableEconomyFix	
EconomyEXSettings	bool	EnableHouseholdPropertyEcoSystem	
EconomyEXSettings	bool	EnableJobSearchEcoSystem	
EconomyEXSettings	bool	EnableRescueDebugLog	TRUE
EconomyEXSettings	bool	EnableResidentAIEcoSystem	
EconomyEXSettings	bool	EnableResourceBuyerEcoSystem	
EconomyEXSettings	bool	EnableVehicleRescue	TRUE
EconomyEXSettings	float	FindHomeMaxCost	
EconomyEXSettings	float	FindJobMaxCost	
EconomyEXSettings	float	FindSchoolCollegeMaxCost	
EconomyEXSettings	float	FindSchoolElementaryMaxCost	
EconomyEXSettings	float	FindSchoolHighSchoolMaxCost	
EconomyEXSettings	float	FindSchoolUniversityMaxCost	
EconomyEXSettings	int	HomelessSeekerCap	
EconomyEXSettings	int	HomeSeekerCap	
EconomyEXSettings	float	HouseholdResourceDemandMultiplier	
EconomyEXSettings	int	JobSeekerCap	
EconomyEXSettings	int	LandValueEnvironmentEffect	
EconomyEXSettings	int	LandValueFactorCommercial	
EconomyEXSettings	int	LandValueFactorIndustrial	
EconomyEXSettings	int	LandValueFactorResidential	
EconomyEXSettings	float	LeisureMaxCost	
EconomyEXSettings	int	LevelFactorCommercial	
EconomyEXSettings	int	LevelFactorIndustrial	
EconomyEXSettings	int	LevelFactorResidential	
EconomyEXSettings	bool	NoDogsGeneration	
EconomyEXSettings	bool	NoDogsOnStreet	
EconomyEXSettings	bool	NoDogsPurge	
EconomyEXSettings	bool	NoThroughTraffic	
EconomyEXSettings	int	PathfindRequestCap	
EconomyEXSettings	string	PopDiagData	TRUE
EconomyEXSettings	int	RentMultiplierCommercial	
EconomyEXSettings	int	RentMultiplierIndustrial	
EconomyEXSettings	int	RentMultiplierResidential	
EconomyEXSettings	int	ServiceBonusCapMultiplier	
EconomyEXSettings	float	ShoppingMaxCost	
EconomyEXSettings	float	ShoppingTrafficReduction	
EconomyEXSettings	string	StatusInfo	
EconomyEXSettings	WaterSimQualitySetting	WaterSimQuality	
EmergencyGhostsSettings	bool	EmergencyOnly	
EmergencyGhostsSettings	bool	Enabled	
EmergencyGhostsSettings	float	SpeedMultiplier	
EventsControllerSettings	bool	BuildingCollapseOccurenceToggle	
EventsControllerSettings	float	BuildingFireEscalationRate	
EventsControllerSettings	float	BuildingFireSpreadProbability	
EventsControllerSettings	float	BuildingFireSpreadRange	
EventsControllerSettings	float	BuildingFireStartIntensity	
EventsControllerSettings	bool	BuildingFireToggle	
EventsControllerSettings	float	DurationMax	
EventsControllerSettings	float	DurationMin	
EventsControllerSettings	bool	EnableSummerFireIncrease	
EventsControllerSettings	bool	EnableWeatherEffectsOnFires	
EventsControllerSettings	float	ForestFireEscalationRate	
EventsControllerSettings	float	ForestFireSpreadProbability	
EventsControllerSettings	float	ForestFireSpreadRange	
EventsControllerSettings	float	ForestFireStartIntensity	
EventsControllerSettings	bool	ForestFireToggle	
EventsControllerSettings	float	HSDamageSeverity	
EventsControllerSettings	float	HSDurationMax	
EventsControllerSettings	float	HSDurationMin	
EventsControllerSettings	bool	HsOccurenceToggle	
EventsControllerSettings	float	HSRainMax	
EventsControllerSettings	float	HSRainMin	
EventsControllerSettings	float	HSTemperatureMax	
EventsControllerSettings	float	HSTemperatureMin	
EventsControllerSettings	float	HSTrafficAccidentOccurenceProbability	
EventsControllerSettings	bool	LCAAccidentOccurenceToggle	
EventsControllerSettings	bool	LCAFireStartProbabilityToggle	
EventsControllerSettings	float	LightningFireEscalationRate	
EventsControllerSettings	float	LightningFireSpreadProbability	
EventsControllerSettings	float	LightningFireSpreadRange	
EventsControllerSettings	float	LightningFireStartIntensity	
EventsControllerSettings	float	LightningFireStartProbability	
EventsControllerSettings	float	LightningIntervalMax	
EventsControllerSettings	float	LightningIntervalMin	
EventsControllerSettings	bool	LightningStrikeOccurenceToggle	
EventsControllerSettings	float	OccurenceProbabilityMax	
EventsControllerSettings	float	OccurenceProbabilityMin	
EventsControllerSettings	float	OccurenceTemperatureMax	
EventsControllerSettings	float	OccurenceTemperatureMin	
EventsControllerSettings	float	RecurrenceProbabilityMax	
EventsControllerSettings	float	RecurrenceProbabilityMin	
EventsControllerSettings	bool	RobberyOccurenceToggle	
EventsControllerSettings	float	TornadoDamageSeverity	
EventsControllerSettings	float	TornadoDurationMax	
EventsControllerSettings	float	TornadoDurationMin	
EventsControllerSettings	float	TornadoOccurenceRainMax	
EventsControllerSettings	float	TornadoOccurenceRainMin	
EventsControllerSettings	float	TornadoOccurenceTemperatureMax	
EventsControllerSettings	float	TornadoOccurenceTemperatureMin	
EventsControllerSettings	bool	TornadoOccurenceToggle	
EventsControllerSettings	float	TornadoTrafficAccidentOccurenceProbability	
EXRScreenshotSettings	AccumulationFramesEnum	AccumulationFramesDropdown	
EXRScreenshotSettings	CompressionMethodEnum	CompressionDropdown	
EXRScreenshotSettings	bool	DebugLogging	TRUE
EXRScreenshotSettings	ProxyBinding	KeyTakeScreenshot	
EXRScreenshotSettings	bool	MetadataLogging	
EXRScreenshotSettings	ScreenshotMethodEnum	ModeDropdown	
EXRScreenshotSettings	float	SupersampleScale	
EXRScreenshotSettings	bool	TakeSuperResolution	
ExtendedTooltipSettings	DisplayMode	DisplayMode	
ExtendedTooltipSettings	int	DisplayModeDelay	
ExtendedTooltipSettings	bool	DisplayModeDelayOnMoveables	
ExtendedTooltipSettings	int	DisplayModeHotkey	
ExtendedTooltipSettings	bool	ShowActualSpeed	
ExtendedTooltipSettings	bool	ShowCitizen	
ExtendedTooltipSettings	bool	ShowCitizenEducation	
ExtendedTooltipSettings	bool	ShowCitizenHappiness	
ExtendedTooltipSettings	bool	ShowCitizenShift	
ExtendedTooltipSettings	bool	ShowCitizenState	
ExtendedTooltipSettings	bool	ShowCitizenType	
ExtendedTooltipSettings	bool	ShowCitizenWealth	
ExtendedTooltipSettings	bool	ShowCompanyBalance	
ExtendedTooltipSettings	bool	ShowCompanyOutput	
ExtendedTooltipSettings	bool	ShowCompanyProfitability	
ExtendedTooltipSettings	bool	ShowCompanyProfitabilityAbsolute	
ExtendedTooltipSettings	bool	ShowCompanyRent	
ExtendedTooltipSettings	bool	ShowEducation	
ExtendedTooltipSettings	bool	ShowEducationStudentCapacity	
ExtendedTooltipSettings	bool	ShowEfficiency	
ExtendedTooltipSettings	bool	ShowEmployee	
ExtendedTooltipSettings	bool	ShowGrowables	
ExtendedTooltipSettings	bool	ShowGrowablesBalance	
ExtendedTooltipSettings	bool	ShowGrowablesHousehold	
ExtendedTooltipSettings	bool	ShowGrowablesHouseholdDetails	
ExtendedTooltipSettings	bool	ShowGrowablesHouseholdWealth	
ExtendedTooltipSettings	bool	ShowGrowablesLevel	
ExtendedTooltipSettings	bool	ShowGrowablesLevelDetails	
ExtendedTooltipSettings	bool	ShowGrowablesRent	
ExtendedTooltipSettings	bool	ShowGrowablesZoneInfo	
ExtendedTooltipSettings	bool	ShowLandValue	
ExtendedTooltipSettings	bool	ShowLotSize	
ExtendedTooltipSettings	bool	ShowNetToolElevation	
ExtendedTooltipSettings	bool	ShowNetToolMode	
ExtendedTooltipSettings	bool	ShowNetToolSystem	
ExtendedTooltipSettings	bool	ShowNetToolUnits	
ExtendedTooltipSettings	bool	ShowPark	
ExtendedTooltipSettings	bool	ShowParkingCapacity	
ExtendedTooltipSettings	bool	ShowParkingFacility	
ExtendedTooltipSettings	bool	ShowParkingFees	
ExtendedTooltipSettings	bool	ShowParkMaintenance	
ExtendedTooltipSettings	bool	ShowPublicTransport	
ExtendedTooltipSettings	bool	ShowPublicTransportWaitingPassengers	
ExtendedTooltipSettings	bool	ShowPublicTransportWaitingTime	
ExtendedTooltipSettings	bool	ShowRoad	
ExtendedTooltipSettings	bool	ShowRoadCondition	
ExtendedTooltipSettings	bool	ShowRoadLength	
ExtendedTooltipSettings	bool	ShowRoadUpkeep	
ExtendedTooltipSettings	bool	ShowSpeed	
ExtendedTooltipSettings	bool	ShowTerrainToolHeight	
ExtendedTooltipSettings	bool	ShowVehicle	
ExtendedTooltipSettings	bool	ShowVehicleGarbageTruck	
ExtendedTooltipSettings	bool	ShowVehiclePassengerDetails	
ExtendedTooltipSettings	bool	ShowVehiclePostvan	
ExtendedTooltipSettings	bool	ShowVehicleProperties	
ExtendedTooltipSettings	bool	ShowVehicleState	
ExtendedTooltipSettings	bool	ShowWaterToolHeight	
ExtendedTooltipSettings	SpeedUnitSetting	SpeedUnit	
ExtendedTooltipSettings	ProxyBinding	ToggleShowNetToolUnits	
ExtendedTooltipSettings	bool	UseExtendedLayout	
ExtraAssetsImporterSettings	int	CompatibilityDropDown	
ExtraAssetsImporterSettings	string	DatabasePath	TRUE
ExtraAssetsImporterSettings	bool	Decals	
ExtraAssetsImporterSettings	bool	DeleteNotLoadedAssets	
ExtraAssetsImporterSettings	bool	NetLanes	
ExtraAssetsImporterSettings	EAINewImportersCompatibility	NewImportersCompatibilityDropDown	
ExtraAssetsImporterSettings	EAIOldImportersCompatibility	OldImportersCompatibilityDropDown	
ExtraAssetsImporterSettings	bool	Surfaces	
ExtraAssetsImporterSettings	bool	UseNewImporters	
ExtraAssetsImporterSettings	bool	UseOldImporters	
ExtractorBoostSettings	int	CoalMultiplier	
ExtractorBoostSettings	int	CottonMultiplier	
ExtractorBoostSettings	int	FishMultiplier	
ExtractorBoostSettings	int	GrainMultiplier	
ExtractorBoostSettings	int	LivestockMultiplier	
ExtractorBoostSettings	int	OilMultiplier	
ExtractorBoostSettings	int	OreMultiplier	
ExtractorBoostSettings	int	StoneMultiplier	
ExtractorBoostSettings	int	VegetableMultiplier	
ExtractorBoostSettings	int	WoodMultiplier	
ExtractorsBegoneSettings	bool	AllowFarmVehicles	
ExtractorsBegoneSettings	bool	AllowFishingBoats	
ExtractorsBegoneSettings	bool	AllowForestVehicles	
ExtractorsBegoneSettings	bool	AllowOilVehicles	
ExtractorsBegoneSettings	bool	AllowOreVehicles	
ExtractorsBegoneSettings	bool	DisableExtractorBuildings	
ExtractorsBegoneSettings	float	FarmExtractorsSpawnFactor	
ExtractorsBegoneSettings	float	FishExtractorsSpawnFactor	
ExtractorsBegoneSettings	float	ForestExtractorsSpawnFactor	
ExtractorsBegoneSettings	float	OilExtractorsSpawnFactor	
ExtractorsBegoneSettings	float	OreExtractorsSpawnFactor	
FastBikesSettings	float	DampingScalar	
FastBikesSettings	bool	EnableFastBikes	
FastBikesSettings	float	PathSpeedScalar	
FastBikesSettings	float	SpeedScalar	
FastBikesSettings	float	StiffnessScalar	
FastBoardingSettings	int	AirBoardingSpeedFactor	
FastBoardingSettings	int	BusBoardingSpeedFactor	
FastBoardingSettings	bool	CancelLateBoarders	
FastBoardingSettings	bool	CimsRunSoonerToCatchBuses	
FastBoardingSettings	bool	EnableVerboseLogging	TRUE
FastBoardingSettings	int	RailBoardingSpeedFactor	
FastBoardingSettings	int	WaterBoardingSpeedFactor	
FertilityControlSettings	bool	EnableOreOilRegen	
FertilityControlSettings	float	FertilityPercentPerDay	
FertilityControlSettings	float	OilPercentPerDay	
FertilityControlSettings	float	OrePercentPerDay	
FindCharacterSettings	CharacterType	ActivatedCharacterType	
FindCharacterSettings	string	ActivatedPinyinNotation	
FindItSettings	ProxyBinding	ApplyMimic	
FindItSettings	float	ColumnSize	
FindItSettings	string	DefaultAlignmentStyle	
FindItSettings	string	DefaultViewStyle	
FindItSettings	ProxyBinding	DownArrow	
FindItSettings	float	ExpandedColumnSize	
FindItSettings	float	ExpandedRowSize	
FindItSettings	bool	HideBrandsFromAny	
FindItSettings	bool	HideRandomAssets	
FindItSettings	ProxyBinding	LeftArrow	
FindItSettings	bool	NoAssetImage	
FindItSettings	bool	OpenPanelOnPicker	
FindItSettings	ProxyBinding	PickerKeyBinding	
FindItSettings	ProxyBinding	RandomKeyBinding	
FindItSettings	ProxyBinding	RightArrow	
FindItSettings	float	RightColumnSize	
FindItSettings	float	RightRowSize	
FindItSettings	float	RowSize	
FindItSettings	float	ScrollSpeed	
FindItSettings	ProxyBinding	SearchKeyBinding	
FindItSettings	bool	SelectPrefabOnOpen	
FindItSettings	bool	SmoothScroll	
FindItSettings	bool	StrictSearch	
FindItSettings	ProxyBinding	UpArrow	
FindItSettings	bool	VehicleWarningShown	TRUE
FirstPersonCameraContinuedSettings	float	CimHeight	
FirstPersonCameraContinuedSettings	bool	DisableVSync	
FirstPersonCameraContinuedSettings	int	FOV	
FirstPersonCameraContinuedSettings	ProxyBinding	FreeModeKeybind	
FirstPersonCameraContinuedSettings	Enums.InfoBoxSize	InfoBoxSize	
FirstPersonCameraContinuedSettings	string	LastSeenChangelogVersion	
FirstPersonCameraContinuedSettings	int	MakeSureSave	
FirstPersonCameraContinuedSettings	float	MovementSpeed	
FirstPersonCameraContinuedSettings	float	PIPAspectRatio	
FirstPersonCameraContinuedSettings	float	PIPSize	
FirstPersonCameraContinuedSettings	FirstPersonCameraPIPSystem.PiPCorner	PIPSnapToCorner	
FirstPersonCameraContinuedSettings	float	RunSpeed	
FirstPersonCameraContinuedSettings	Enums.ModUnits	SetUnits	
FirstPersonCameraContinuedSettings	bool	ShowExtraInfo	
